"e-folds N","cal(P)_zeta k=7.34e+03","cal(P)_zeta k=8.05e+06","max u_ij k=7.34e+03","max u_ij k=8.05e+06","max u_ijk k_t=22026.5","max u_ijk k_t=2.4155e+07","H"
2.4359999999999999e+01,5.5754736549533312e-11,3.4717202786371816e-11,8.0005454778123678e+01,8.0752350340016122e+01,1.0622316898787455e+05,1.0622327052898366e+05,7.2281670210682465e-06
2.4416000000000000e+01,5.5754733400094312e-11,3.3132001810132974e-11,8.1763822639872629e+01,8.2434414380344663e+01,1.0921344893416228e+05,1.0921353955753804e+05,7.2128770225535266e-06
2.4472000000000001e+01,5.5754730575461143e-11,3.1719193943682094e-11,8.3547780004346066e+01,8.4149884509285997e+01,1.1225708546612610e+05,1.1225716633299251e+05,7.1974921250521758e-06
2.4527999999999999e+01,5.5754728042055113e-11,3.0459810535220731e-11,8.5357524362746318e+01,8.5898155636315678e+01,1.1535420651559379e+05,1.1535427866464460e+05,7.1820109587837081e-06
2.4584000000000000e+01,5.5754725769767662e-11,2.9336991084201720e-11,8.7193252683150178e+01,8.7678704717997192e+01,1.1850491308644766e+05,1.1850497744669692e+05,7.1664321228490971e-06
2.4640000000000001e+01,5.5754723731616250e-11,2.8335747299054154e-11,8.9055161337242737e+01,8.9491082175106172e+01,1.2170927818163439e+05,1.2170933558392573e+05,7.1507541842630808e-06
2.4696000000000002e+01,5.5754721903428693e-11,2.7442753405735839e-11,9.0943446024486590e+01,9.1334904185523101e+01,1.2496734570021059e+05,1.2496739688752466e+05,7.1349756769481549e-06
2.4751999999999999e+01,5.5754720263550638e-11,2.6646160026274561e-11,9.2858301692262714e+01,9.3209845760648705e+01,1.2827912930318552e+05,1.2827917493987083e+05,7.1190951006883936e-06
2.4808000000000000e+01,5.5754718792575975e-11,2.5935429097830604e-11,9.4799922453378642e+01,9.5115634525350302e+01,1.3164461124772197e+05,1.3164465192776083e+05,7.1031109200411798e-06
2.4864000000000001e+01,5.5754717473102032e-11,2.5301187488174015e-11,9.6768501498495780e+01,9.7052045126024737e+01,1.3506374118810258e+05,1.3506377744251266e+05,7.0870215632047427e-06
2.4920000000000002e+01,5.5754716289512843e-11,2.4735097191508465e-11,9.8764231006068073e+01,9.9018894203952399e+01,1.3853643494332038e+05,1.3853646724678206e+05,7.0708254208393457e-06
